,N2O,CO2,DO,NH_4,NO3,Qair_meas
2012-08-08 01:00:00,140.746,37508.2,1.8721064,1.5277777,1.6695602,5035.301
2012-08-08 01:01:00,141.307,37508.9,1.8258101,1.5277777,1.7013888,5009.476
2012-08-08 01:02:00,141.879,37512.3,1.7563657,1.5277777,1.7071759,4892.5054
2012-08-08 01:03:00,142.255,37515.0,1.7071759,1.5277777,1.5972221,4845.4136
2012-08-08 01:04:00,142.449,37519.9,1.646412,1.5162036,1.4872684,4709.7075
2012-08-08 01:05:00,142.685,37527.4,1.5769676,1.5277777,1.3773148,4697.5547
2012-08-08 01:06:00,142.79,37530.8,1.5248842,1.5248842,1.267361,4715.7837
2012-08-08 01:07:00,142.941,37530.5,1.4814814,1.5219907,1.267361,4625.651
2012-08-08 01:08:00,143.245,37530.4,1.4641203,1.5190971,1.267361,4615.5234
2012-08-08 01:09:00,143.462,37533.1,1.4293981,1.5162036,1.267361,4594.2563
2012-08-08 01:10:00,143.935,37548.1,1.4091434,1.5219907,1.267361,4467.6646
2012-08-08 01:11:00,144.485,37563.1,1.3888888,1.5277777,1.0358796,4482.349
2012-08-08 01:12:00,145.032,37577.8,1.3715278,1.412037,0.96643513,4485.894
2012-08-08 01:13:00,145.475,37587.5,1.3136574,1.4081789,0.93749994,4484.8813
2012-08-08 01:14:00,146.123,37594.1,1.328125,1.404321,0.9085648,4471.716
2012-08-08 01:15:00,146.827,37591.1,1.3223379,1.4004629,0.8796296,4472.7285
2012-08-08 01:16:00,147.438,37585.4,1.333912,1.412037,0.8506944,4427.1553
2012-08-08 01:17:00,148.088,37583.7,1.3368055,1.3078703,0.8506944,4417.0283
2012-08-08 01:18:00,148.814,37595.2,1.3020833,1.3136574,0.8506944,4437.789
2012-08-08 01:19:00,149.579,37600.5,1.2702546,1.3117284,0.8506944,4424.6235
2012-08-08 01:20:00,150.373,37601.1,1.3165509,1.3097993,0.8506944,4478.8047
2012-08-08 01:21:00,151.096,37592.5,1.3512731,1.3078703,1.25,4476.273
2012-08-08 01:22:00,151.757,37578.5,1.345486,1.3831018,1.255787,4490.9575
2012-08-08 01:23:00,152.419,37581.2,1.328125,1.3859954,1.25,4477.2856
2012-08-08 01:24:00,153.107,37585.3,1.3310184,1.3888888,1.255787,4491.97
2012-08-08 01:25:00,153.913,37591.1,1.3136574,1.3859954,1.4004629,4553.2407
2012-08-08 01:26:00,154.81,37601.6,1.2934028,1.3831018,1.5451388,4528.935
2012-08-08 01:27:00,155.566,37614.7,1.328125,1.3020833,1.5451388,4565.393
2012-08-08 01:28:00,156.26,37608.9,1.3483796,1.3001542,1.5451388,4536.5303
2012-08-08 01:29:00,156.924,37596.0,1.3715278,1.2982253,1.5451388,4566.4062
2012-08-08 01:30:00,157.733,37617.3,1.3773148,1.2962962,1.5451388,4599.826
2012-08-08 01:31:00,158.39,37628.2,1.4091434,1.3020833,1.8518518,4635.272
2012-08-08 01:32:00,158.981,37633.8,1.4322916,1.0821759,1.8518518,4633.7524
2012-08-08 01:33:00,159.659,37636.0,1.417824,1.099537,1.8518518,4644.8926
2012-08-08 01:34:00,160.326,37640.3,1.4149305,1.0821759,1.8518518,4609.4473
2012-08-08 01:35:00,161.051,37652.8,1.4207176,1.1342592,1.8518518,4594.2563
2012-08-08 01:36:00,161.665,37663.2,1.4293981,1.1863425,1.7013888,4623.119
2012-08-08 01:37:00,162.453,37675.7,1.417824,1.2384259,1.7013888,4743.1274
2012-08-08 01:38:00,162.985,37688.3,1.4149305,1.2326388,1.7013888,4734.013
2012-08-08 01:39:00,163.572,37690.3,1.40625,1.2268518,1.7013888,4754.2676
2012-08-08 01:40:00,164.099,37689.9,1.4496527,1.2326388,1.7013888,4725.911
2012-08-08 01:41:00,164.681,37701.0,1.490162,1.2384259,1.6782407,4744.1406
2012-08-08 01:42:00,165.336,37703.8,1.4728009,1.2847222,1.6782407,4746.166
2012-08-08 01:43:00,165.964,37704.6,1.4626735,1.2962962,1.6782407,4760.8506
2012-08-08 01:44:00,166.773,37732.9,1.4525462,1.2924383,1.6782407,4745.1533
2012-08-08 01:45:00,167.353,37736.2,1.4496527,1.2885802,1.6782407,4761.8633
2012-08-08 01:46:00,167.909,37720.3,1.4728009,1.2847222,1.574074,4754.774
2012-08-08 01:47:00,168.398,37702.6,1.495949,1.2152778,1.574074,4737.5576
2012-08-08 01:48:00,168.927,37698.2,1.4930555,1.2094907,1.574074,4842.882
2012-08-08 01:49:00,169.413,37709.3,1.5075231,1.2123842,1.574074,4799.841
2012-08-08 01:50:00,169.875,37727.1,1.5205439,1.2152778,1.574074,4811.993
2012-08-08 01:51:00,170.545,37744.0,1.5335648,1.2094907,1.6608796,4827.1846
2012-08-08 01:52:00,171.101,37745.6,1.5509259,1.2123842,1.6608796,4855.0347
2012-08-08 01:53:00,171.681,37743.8,1.5162036,1.2152778,1.6608796,4822.627
2012-08-08 01:54:00,172.255,37735.1,1.5104166,1.2094907,1.6608796,4825.665
2012-08-08 01:55:00,172.793,37717.5,1.5162036,1.2152778,1.6608796,4839.8438
2012-08-08 01:56:00,173.293,37702.7,1.5075231,1.2094907,1.9386574,4837.818
2012-08-08 01:57:00,173.719,37696.7,1.495949,1.099537,1.9386574,4832.248
2012-08-08 01:58:00,174.219,37697.7,1.5162036,1.1009837,1.9386574,4777.054
2012-08-08 01:59:00,174.727,37702.7,1.5190972,1.1024306,1.9386574,4871.2383
2012-08-08 02:00:00,175.274,37717.9,1.5480324,1.1038773,1.9386574,4909.216
2012-08-08 02:01:00,175.763,37730.2,1.5393518,1.105324,2.2569444,4872.7573
2012-08-08 02:02:00,176.271,37736.2,1.5219907,1.111111,2.2569444,4924.4067
2012-08-08 02:03:00,176.599,37731.7,1.5480324,1.1226852,2.2569444,4950.738
2012-08-08 02:04:00,177.166,37709.5,1.5885416,1.111111,2.2569444,4944.155
2012-08-08 02:05:00,177.515,37697.5,1.6203703,1.105324,2.2569444,4909.216
2012-08-08 02:06:00,178.099,37688.7,1.5943286,1.0908564,2.349537,4967.4478
2012-08-08 02:07:00,178.499,37686.8,1.5885416,1.0763888,2.349537,4944.661
2012-08-08 02:08:00,179.1,37694.2,1.5769676,1.0744598,2.349537,4916.3047
2012-08-08 02:09:00,179.564,37702.2,1.5943286,1.0725309,2.349537,4893.518
2012-08-08 02:10:00,179.959,37711.9,1.6030092,1.0706018,2.349537,4965.9287
2012-08-08 02:11:00,180.29,37714.5,1.6059027,1.0387731,2.0601852,4972.005
2012-08-08 02:12:00,180.738,37714.4,1.6030092,1.0069444,2.0601852,4953.776
2012-08-08 02:13:00,180.825,37681.6,1.568287,1.0030863,2.0601852,4929.9766
2012-08-08 02:14:00,181.077,37665.5,1.5943286,0.99922836,2.0601852,4962.384
2012-08-08 02:15:00,181.557,37670.3,1.5914351,0.9953703,2.0601852,4919.343
2012-08-08 02:16:00,182.028,37677.5,1.6059027,1.0069444,1.5972222,4991.247
2012-08-08 02:17:00,182.448,37674.7,1.5972222,0.9953703,1.5972222,4974.0303
2012-08-08 02:18:00,182.857,37667.8,1.6203703,0.9924768,1.5972222,4929.47
2012-08-08 02:19:00,183.232,37667.1,1.6377314,0.9895833,1.5972222,4892.5054
2012-08-08 02:20:00,183.695,37670.9,1.6203703,0.9953703,1.5972222,4937.5723
2012-08-08 02:21:00,184.272,37675.0,1.5972222,0.9519676,1.6550926,4969.9795
2012-08-08 02:22:00,184.81,37688.3,1.6030092,0.9085648,1.6550926,4941.623
2012-08-08 02:23:00,185.339,37705.9,1.5885416,0.90567124,1.6550926,5024.667
2012-08-08 02:24:00,185.773,37706.9,1.5914351,0.90277773,1.6550926,4952.257
2012-08-08 02:25:00,186.138,37700.7,1.5769676,0.9143518,1.6550926,5043.9087
2012-08-08 02:26:00,186.503,37705.5,1.6087962,0.92592585,1.9444444,5020.616
2012-08-08 02:27:00,186.816,37704.6,1.6078317,0.93749994,1.9444444,5009.476
2012-08-08 02:28:00,187.099,37698.1,1.6068672,0.93605316,1.9444444,5077.329
2012-08-08 02:29:00,187.315,37691.5,1.6059027,0.93460643,1.9444444,5044.922
2012-08-08 02:30:00,187.804,37683.8,1.6377314,0.9331597,1.9444444,5025.1733
2012-08-08 02:31:00,188.142,37683.5,1.6319444,0.9317129,2.4247684,5017.0713
2012-08-08 02:32:00,188.424,37681.2,1.652199,0.9317129,2.4247684,4986.183
2012-08-08 02:33:00,188.71,37674.8,1.6377314,0.9317129,2.4247684,4981.626
2012-08-08 02:34:00,189.252,37670.2,1.640625,0.9317129,2.4247684,5048.9727
2012-08-08 02:35:00,189.507,37656.8,1.6550926,0.9317129,2.4247684,5012.514
2012-08-08 02:36:00,189.619,37635.6,1.6695601,0.9317129,2.2858796,5051.5044
2012-08-08 02:37:00,189.897,37617.8,1.6811342,0.90277773,2.2858796,5043.4023
2012-08-08 02:38:00,189.86,37610.0,1.6666666,0.90084875,2.2858796,5076.8228
2012-08-08 02:39:00,190.237,37607.9,1.6984953,0.8989197,2.2858796,5018.0845
2012-08-08 02:40:00,190.616,37618.0,1.7028356,0.8969907,2.2858796,5054.5425
2012-08-08 02:41:00,191.085,37616.4,1.7071759,0.90277773,2.0891204,5016.0586
2012-08-08 02:42:00,191.296,37614.0,1.6811342,0.787037,2.0891204,5027.705
2012-08-08 02:43:00,191.551,37617.1,1.7100694,0.78510803,2.0891204,5007.4507
2012-08-08 02:44:00,191.893,37627.5,1.6927083,0.783179,2.0891204,5014.033
2012-08-08 02:45:00,192.22,37639.8,1.6811342,0.78125,2.0891204,5005.4253
2012-08-08 02:46:00,192.321,37648.0,1.6898148,0.8130787,1.8229166,4972.005
2012-08-08 02:47:00,192.332,37651.4,1.6608796,0.8449074,1.8229166,4954.7886
2012-08-08 02:48:00,192.55,37650.5,1.6493055,0.8449074,1.8229166,4967.4478
2012-08-08 02:49:00,192.72,37653.6,1.6377314,0.8449074,1.8229166,4993.779
2012-08-08 02:50:00,192.97,37658.3,1.6348379,0.8449074,1.8229166,4995.804
2012-08-08 02:51:00,193.288,37650.7,1.6565392,0.8449074,2.1122684,4975.5493
2012-08-08 02:52:00,193.272,37634.2,1.6782407,0.8449074,2.1122684,4949.2188
2012-08-08 02:53:00,193.609,37632.3,1.652199,0.8391203,2.1122684,4945.674
2012-08-08 02:54:00,193.659,37613.8,1.6377314,0.8449074,2.1122684,4953.776
2012-08-08 02:55:00,194.017,37617.9,1.6898148,0.84201384,2.1122684,4990.7407
2012-08-08 02:56:00,194.299,37618.4,1.6637731,0.8391203,2.5289352,4967.4478
2012-08-08 02:57:00,194.442,37617.4,1.6840277,0.8449074,2.5289352,5013.527
2012-08-08 02:58:00,194.692,37624.7,1.6753472,0.84201384,2.5289352,4927.445
2012-08-08 02:59:00,195.032,37619.3,1.6927083,0.8391203,2.5289352,4999.3486
2012-08-08 03:00:00,195.032,37608.5,1.6811342,0.8449074,2.5289352,5010.995
2012-08-08 03:01:00,195.372,37600.0,1.6724536,0.84201384,2.8761573,4954.282
2012-08-08 03:02:00,195.554,37599.9,1.6637731,0.8391203,2.8761573,4954.7886
2012-08-08 03:03:00,195.671,37596.2,1.6782407,0.8449074,2.8761573,4969.9795
2012-08-08 03:04:00,195.796,37598.5,1.6637731,0.8449074,2.8761573,4950.2314
2012-08-08 03:05:00,196.11,37613.1,1.6753472,0.8449074,2.8761573,4976.0557
2012-08-08 03:06:00,196.41,37620.6,1.6695601,0.8449074,2.65625,4949.725
2012-08-08 03:07:00,196.568,37627.9,1.6608796,0.8449074,2.65625,4915.292
2012-08-08 03:08:00,196.805,37638.1,1.652199,0.8449074,2.65625,4996.817
2012-08-08 03:09:00,196.965,37645.0,1.6637731,0.8391203,2.65625,4913.2666
2012-08-08 03:10:00,197.279,37640.4,1.640625,0.8410494,2.65625,4970.992
2012-08-08 03:11:00,197.576,37644.9,1.6391783,0.84297836,2.2685184,4962.384
2012-08-08 03:12:00,197.715,37651.6,1.6377314,0.8449074,2.2685184,4993.779
2012-08-08 03:13:00,197.787,37650.7,1.646412,0.8391203,2.2685184,5040.8706
2012-08-08 03:14:00,197.899,37650.2,1.6550926,0.8449074,2.2685184,5026.186
2012-08-08 03:15:00,197.985,37645.3,1.6348379,0.84201384,2.2685184,4934.5337
2012-08-08 03:16:00,198.046,37624.1,1.6550926,0.8391203,1.9675925,4937.066
2012-08-08 03:17:00,198.229,37602.6,1.6261574,0.84201384,1.9675925,4945.1675
2012-08-08 03:18:00,198.307,37588.7,1.6550926,0.8449074,1.9675925,4942.1294
2012-08-08 03:19:00,198.503,37579.7,1.6261574,0.84297836,1.9675925,4962.384
2012-08-08 03:20:00,198.718,37567.4,1.6377314,0.8410494,1.9675925,4933.0146
2012-08-08 03:21:00,198.86,37561.8,1.6232638,0.8391203,2.5,4947.699
2012-08-08 03:22:00,199.147,37561.8,1.6261574,0.8449074,2.5,4933.0146
2012-08-08 03:23:00,199.405,37559.9,1.6550926,0.8449074,2.5,4907.6963
2012-08-08 03:24:00,199.51,37548.3,1.652199,0.8449074,2.5,4909.722
2012-08-08 03:25:00,199.643,37538.6,1.6637731,0.8449074,2.5,4898.582
2012-08-08 03:26:00,199.921,37525.0,1.6232638,0.8449074,2.8125,4916.3047
2012-08-08 03:27:00,200.019,37497.7,1.6087962,0.8449074,2.8125,4930.483
2012-08-08 03:28:00,200.252,37483.8,1.6059027,0.8449074,2.8125,4888.4546
2012-08-08 03:29:00,200.391,37464.9,1.604456,0.8449074,2.8125,4869.213
2012-08-08 03:30:00,200.544,37438.1,1.6030092,0.8449074,2.8125,4905.671
2012-08-08 03:31:00,200.628,37424.7,1.6261574,0.8449074,3.148148,4902.8857
2012-08-08 03:32:00,200.884,37411.4,1.6319444,0.8449074,3.148148,4900.101
2012-08-08 03:33:00,201.088,37418.7,1.5943286,0.8449074,3.148148,4907.6963
2012-08-08 03:34:00,201.373,37424.8,1.5914351,0.92013884,3.148148,4915.292
2012-08-08 03:35:00,201.695,37423.4,1.6087962,0.9085648,3.148148,4927.445
2012-08-08 03:36:00,202.115,37425.7,1.6261574,0.9259259,2.5520833,4810.9805
2012-08-08 03:37:00,202.319,37409.2,1.6116898,0.9085648,2.5520833,4825.665
2012-08-08 03:38:00,202.621,37393.5,1.5769676,0.92013884,2.5520833,4868.7065
2012-08-08 03:39:00,203.033,37388.5,1.5509259,0.8449074,2.5520833,4849.9707
2012-08-08 03:40:00,203.277,37386.1,1.5480324,0.84201384,2.5520833,4814.019
2012-08-08 03:41:00,203.67,37388.3,1.5451388,0.8391203,2.0949073,4198.7847
2012-08-08 03:42:00,204.081,37392.6,1.4872684,0.8449074,2.0949073,4574.0015
2012-08-08 03:43:00,204.297,37391.8,1.4004629,0.4571759,2.0949073,4788.7007
2012-08-08 03:44:00,204.6,37394.2,1.3570602,0.06944444,2.0949073,4887.442
2012-08-08 03:45:00,204.953,37401.1,1.3657407,0.081018515,2.0949073,4870.732
2012-08-08 03:46:00,205.37,37402.0,1.4351852,0.30960646,1.6319444,4939.5977
2012-08-08 03:47:00,205.564,37392.0,1.4756944,0.5381944,1.6319444,4958.8394
2012-08-08 03:48:00,205.848,37384.4,1.5248842,0.7667824,1.6319444,4949.725
2012-08-08 03:49:00,206.192,37368.6,1.5451388,0.9953703,1.6319444,5004.4126
2012-08-08 03:50:00,206.609,37357.9,1.5653934,0.99826384,1.6319444,5039.3516
2012-08-08 03:51:00,206.978,37346.2,1.574074,1.0011574,1.9328703,5034.7944
2012-08-08 03:52:00,207.434,37317.5,1.5653934,1.0040509,1.9328703,5045.428
2012-08-08 03:53:00,207.72,37299.1,1.5885416,1.0069444,1.9328703,5047.96
2012-08-08 03:54:00,208.288,37285.2,1.6174768,1.09375,1.9328703,5038.845
2012-08-08 03:55:00,208.54,37274.1,1.6247106,1.09375,1.9328703,5042.3896
2012-08-08 03:56:00,208.836,37255.8,1.6319444,1.09375,2.4247684,4992.766
2012-08-08 03:57:00,209.005,37224.0,1.640625,1.09375,2.4247684,4883.391
2012-08-08 03:58:00,209.246,37204.8,1.6493055,1.09375,2.4247684,4853.009
2012-08-08 03:59:00,209.538,37197.9,1.5943286,1.0532407,2.4247684,4902.1265
2012-08-08 04:00:00,209.941,37191.6,1.5653934,1.0648148,2.4247684,4880.3525
2012-08-08 04:01:00,210.318,37184.3,1.5364583,1.0609567,2.974537,4908.7095
2012-08-08 04:02:00,210.651,37178.3,1.5248842,1.0570987,2.974537,4924.913
2012-08-08 04:03:00,211.296,37178.6,1.5364583,1.0532407,2.974537,4941.1167
2012-08-08 04:04:00,211.61,37179.5,1.5451388,1.105324,2.974537,4920.862
2012-08-08 04:05:00,212.123,37180.1,1.5335648,1.099537,2.974537,4921.368
2012-08-08 04:06:00,212.559,37169.1,1.5248842,1.105324,2.8645833,4883.8975
2012-08-08 04:07:00,212.782,37158.5,1.5335648,1.111111,2.8645833,5005.9316
2012-08-08 04:08:00,213.17,37146.4,1.5306712,1.1168982,2.8645833,4941.1167
2012-08-08 04:09:00,213.485,37134.7,1.5393518,1.1226852,2.8645833,4821.108
2012-08-08 04:10:00,213.886,37122.0,1.5480324,1.111111,2.8645833,4829.7163
2012-08-08 04:11:00,214.222,37121.5,1.5219907,1.1226852,3.0613425,4843.8945
2012-08-08 04:12:00,214.654,37122.4,1.5162036,1.111111,3.0613425,4891.4927
2012-08-08 04:13:00,214.83,37119.3,1.4930555,1.1487268,3.0613425,4840.35
2012-08-08 04:14:00,215.095,37112.8,1.4814814,1.1863426,3.0613425,4841.869
2012-08-08 04:15:00,215.307,37109.6,1.4930555,1.183449,3.0613425,4871.2383
2012-08-08 04:16:00,215.559,37098.4,1.5104166,1.1805555,3.1944444,4826.678
2012-08-08 04:17:00,215.945,37093.9,1.5190972,1.1959876,3.1944444,4839.8438
2012-08-08 04:18:00,216.355,37097.3,1.5147569,1.2114197,3.1944444,4876.808
2012-08-08 04:19:00,216.662,37095.4,1.5104166,1.2268518,3.1944444,4844.401
2012-08-08 04:20:00,216.947,37088.4,1.5190972,1.2384259,3.1944444,4827.691
2012-08-08 04:21:00,217.305,37084.6,1.5046296,1.2268518,3.2696757,4856.5537
2012-08-08 04:22:00,217.788,37078.4,1.4930555,1.2384259,3.2696757,4846.9326
2012-08-08 04:23:00,218.318,37070.9,1.4756944,1.2355323,3.2696757,4837.3115
2012-08-08 04:24:00,218.655,37067.9,1.4805169,1.2326388,3.2696757,4842.882
2012-08-08 04:25:00,219.226,37075.1,1.4853395,1.2297454,3.2696757,4797.815
2012-08-08 04:26:00,219.537,37065.0,1.490162,1.2268518,3.0381944,4844.907
2012-08-08 04:27:00,219.893,37058.0,1.4814814,1.2384259,3.0381944,4846.4263
2012-08-08 04:28:00,220.264,37053.0,1.501736,1.2268518,3.0381944,4869.719
2012-08-08 04:29:00,220.66,37046.5,1.495949,1.3020833,3.0381944,4832.7544
2012-08-08 04:30:00,221.14,37040.4,1.4728009,1.2991898,3.0381944,4812.5
2012-08-08 04:31:00,221.735,37038.1,1.5162036,1.2962962,2.847222,4874.2764
2012-08-08 04:32:00,222.268,37024.9,1.495949,1.3020833,2.847222,4832.248
2012-08-08 04:33:00,222.768,37017.4,1.501736,1.2962962,2.847222,4928.4575
2012-08-08 04:34:00,223.207,37001.7,1.4785879,1.3368055,2.847222,4960.3584
2012-08-08 04:35:00,223.753,36983.3,1.4930555,1.3348764,2.847222,4947.699
2012-08-08 04:36:00,224.015,36972.1,1.5596064,1.3329475,2.6157405,4909.216
2012-08-08 04:37:00,224.507,36959.1,1.5364583,1.3310184,2.6273148,4929.9766
2012-08-08 04:38:00,225.031,36935.0,1.5190972,1.3368055,2.566551,4931.4956
2012-08-08 04:39:00,225.534,36923.7,1.5393518,1.4409722,2.505787,4946.6865
2012-08-08 04:40:00,226.051,36916.4,1.5653934,1.4322916,2.445023,4876.302
2012-08-08 04:41:00,226.552,36890.0,1.5509259,1.423611,2.3842592,4936.053
2012-08-08 04:42:00,226.95,36861.3,1.568287,1.4409722,2.3842592,5050.4917
2012-08-08 04:43:00,227.506,36847.8,1.5364583,1.4293981,2.3842592,4954.282
2012-08-08 04:44:00,228.044,36840.6,1.5162036,1.423611,2.3842592,4877.821
2012-08-08 04:45:00,228.639,36830.4,1.568287,1.4293981,2.3842592,4930.483
2012-08-08 04:46:00,229.201,36820.3,1.579861,1.427469,1.8518518,4895.0376
2012-08-08 04:47:00,229.705,36801.5,1.5480324,1.4255401,1.8518518,4904.658
2012-08-08 04:48:00,230.332,36779.8,1.5538194,1.423611,1.8518518,4539.569
2012-08-08 04:49:00,230.798,36758.3,1.5827546,1.4293981,1.8518518,3815.972
2012-08-08 04:50:00,231.251,36740.2,1.4785879,1.4409722,1.8518518,3596.2092
2012-08-08 04:51:00,231.82,36740.7,1.3136574,1.4293981,1.5162036,3557.7256
2012-08-08 04:52:00,232.55,36747.3,1.0821759,1.4409722,1.5162036,3541.0154
2012-08-08 04:53:00,233.374,36768.8,0.95196754,1.4641204,1.5162036,3553.1682
2012-08-08 04:54:00,234.345,36789.2,0.8449074,1.4872684,1.5162036,3649.3777
2012-08-08 04:55:00,235.337,36806.4,0.81018513,1.4814814,1.5162036,3722.8008
2012-08-08 04:56:00,236.159,36819.8,0.8072916,1.4872684,1.9444444,3800.781
2012-08-08 04:57:00,237.31,36830.5,0.8159722,1.4814814,1.9444444,3874.7104
2012-08-08 04:58:00,238.37,36840.2,0.859375,1.4872684,1.9444444,3960.7927
2012-08-08 04:59:00,239.416,36832.6,0.9114583,1.6724536,1.9444444,3988.6428
2012-08-08 05:00:00,240.469,36813.6,0.96643513,1.6608796,1.9444444,4044.343
2012-08-08 05:01:00,241.643,36788.4,1.015625,1.6724536,2.4363425,4245.8765
2012-08-08 05:02:00,242.739,36768.1,1.0387731,1.6608796,2.4363425,5485.9663
2012-08-08 05:03:00,243.885,36743.7,1.1313657,1.6724536,2.4363425,6335.1416
2012-08-08 05:04:00,244.846,36710.2,1.345486,1.730324,2.4363425,6913.411
2012-08-08 05:05:00,245.583,36664.6,1.7476851,1.736111,2.4363425,7151.403
2012-08-08 05:06:00,246.11,36612.9,2.065972,1.7375578,2.8761573,7219.762
2012-08-08 05:07:00,246.533,36554.7,2.3466434,1.7390046,2.8761573,7003.5444
2012-08-08 05:08:00,247.013,36525.3,2.5810184,1.7404513,2.8761573,6818.2144
